Species,Family,Habit,CommonName
Equisetum laevigatum,Equisetaceae,PF,Smooth Scouring-Rush
Eremalche rotundifolia,Malvaceae,AH,Desert Five-spot
Eremocarpus setiger,Euphorbiaceae,AH,"Dove Weed, Turkey Mullein"
Eriastrum signatum,Polemoniaceae,AH,Maroon-spotted Woolly Star
Ericameria bloomeri,Asteraceae,S,Bloomer's Goldenbush
Ericameria linearifolia,Asteraceae,S,"Interior Goldenbush, Stenotopsis"
Ericameria nauseosa,Asteraceae,S,Rubber Rabbitbrush
Erigeron foliosus,Asteraceae,PH,Leafy Fleabane or Daisy
Eriodictyon californicum,Boraginaceae,S,California Yerba Santa
Eriodictyon crassifolium,Boraginaceae,S,Thickleaf Yerba Santa
Eriogonum,Polygonaceae,AH,annual buckwheat species
Eriogonum cinereum,Polygonaceae,S,Ash or Gray Coast Buckwheat
Eriogonum elongatum,Polygonaceae,PH,Long-stemmed Buckwheat
Eriogonum fasciculatum,Polygonaceae,S,Leafy California Buckwheat
Eriogonum nudum,Polygonaceae,PH,Barestem Buckwheat
Eriogonum parvifolium,Polygonaceae,S,Dune Buckwheat
Eriogonum umbellatum,Polygonaceae,S,Munz Yellow Buckwheat
Eriophyllum confertiflorum,Asteraceae,PH,Golden Yarrow
Eriophyllum lanatum,Asteraceae,PH,Woolly Sunflower
Erodium botrys,Geraniaceae,AH,Broadleaf Filaree
Erodium cicutarium,Geraniaceae,AH,Redstem Filaree
Eryngium,Apiaceae,PH,Coyote Thistle
Erysimum capitatum,Brassicaceae,AH/BH,Western Wallflower
Erythranthe guttata,Phrymaceae,A/PH,Common Streamside Monkeyflower
Erythronium,Liliaceae,PG,Fawn Lily
Eschscholzia californica,Papaveraceae,AH,California Poppy
Eucalyptus camaldulensis,Myrtaceae,T,River Red Gum
Eucalyptus globulus,Myrtaceae,T,Tasmanian Blue Gum
Euphorbia,Euphorbiaceae,PH,Spurges
Euthamia occidentalis,Asteraceae,PH,Western Goldenrod
Extriplex californica,Chenopodiaceae,S,California Orach
Festuca arundinacea,Poaceae,PG,Tall Fescue
Festuca californica,Poaceae,PG,California Fescue
Festuca idahoensis,Poaceae,PG,Blue Fescue
Festuca rubra,Poaceae,PG,Red Fescue
Ficus carica,Moraceae,T/S,Common Fig
Foeniculum vulgare,Apiaceae,PH,Sweet Fennel
Frankenia salina,Frankeniaceae,PH,Alkali Heath
Fraxinus dipetala,Oleaceae,T,California Flowering Ash
Fraxinus latifolia,Oleaceae,T,Oregon Ash
Fremontodendron californicum,Malvaceae,S,California Flannel Bush
Fritillaria,Liliaceae,PG,Fritillaria
Galium,Rubiaceae,S,Bedstraws
