Scientific Name,Common Name,Habit,Family
Melilotus indica,"Sourclover, Yellow Sweetclover",AH,Fabaceae
Mentzelia laevicaulis,Blazing Star,PH,Loasaceae
Mesembryanthemum nodiflorum,Slenderleaf Iceplant,AH,Aizoaceae
Minuartia douglasii,Douglas Sandwort,AH,Caryophyllaceae
Monardella spp.,Coyote Mint,A/PH,Lamiaceae
Morella  californica,California Myrtle,T/S,Myricaceae
Nasturtium officinale,Water Cress,PH,Brassicaceae
Nemophila maculata,Five Spot,AH,Hydrophyllaceae
Nemophila menziesii,Baby Blue-eyes,AH,Hydrophyllaceae
Nicotiana glauca,Tree Tobacco,S,Solanaceae
Notholithocarpus densiflorus,Tanoak,ST,Fagaceae
Oemleria cerasiformis,Oso Berry,S,Rosaceae
Opuntia basilaris,Beavertail Cactus,S,Cactaceae
Opuntia littoralis,Coastal Prickly Pear,S,Cactaceae
Orobanche fasciculata,Clustered Broom-rape,PH,Orobanchaceae
Oxalis oregana,Redwood Sorrel,PH,Oxalidaceae
Oxalis pes-caprae,Bermuda Buttercup,PH,Oxalidaceae
Pectocarya setosa,Setose Pectocarya,AH,Boraginaceae
Pedicularis densiflora,Indian Warrior,PH,Orobanchaceae
Pellaea andromedifolia,Coffee Fern,PF,Pteridaceae
Pellaea mucronata,Birdsfoot Cliffbrake or Fern,PF,Pteridaceae
Pennisetum setaceum,African Fountain Grass,PG,Poaceae
Penstemon centranthifolius,Scarlet Bugler,PH,Plantaginaceae
Penstemon heterophyllus,Mountain Penstemon,PH,Plantaginaceae
Pentagramma triangularis,Goldenback Fern,PF,Pteridaceae
Peritoma arborea,Bladderpod,S,Cleomaceae
Phacelia spp.,Phacelias,AH,Boraginaceae
Phoradendron leucarpum ssp. tomentosum,Oak or Hairy Mistletoe,PH,Viscaceae
Pickeringia montana,Chaparral Pea,S,Fabaceae
Pinus attenuata,Knobcone Pine,T,Pinaceae
Pinus contorta,"Lodgepole Pine, Beach Pine",T,Pinaceae
Pinus jeffreyi,Jeffrey Pine,T,Pinaceae
Pinus lambertiana,Sugar Pine,T,Pinaceae
Pinus monophylla,Singleleaf Pinyon Pine,T,Pinaceae
Pinus ponderosa,Ponderosa Pine,T,Pinaceae
