Term,Definition
Xanthium,Spiny or Spring Clotbur
Centaurea melitensis,"Tocalote, Napa Thistle"
Ericameria nauseosa,Rubber Rabbitbrush
Ericameria linearifolia,"Interior Goldenbush, Stenotopsis"
Erigeron foliosus,Leafy Fleabane or Daisy
Gnaphalium palustre,Lowland Cudweed
Helianthus annuus,Common Sunflower
Layia glandulosa,White Layia
Lepidospartum squamatum,Scalebroom
Corethrogyne filaginifolia,California Cudweed-aster
Malacothrix coulteri,Snake Heads
Pectocarya setosa,Setose Pectocarya
Athysanus pusillus,Athysanus
Sisymbrium orientale,Eastern Mustard
Stanleya pinnata,Desert Princesplume
Lonicera subspicata,Southern or San Diego
Allenrolfea occidentalis,Iodine Bush
Atriplex canescens,Fourwing or Hoary Saltbush
Chenopodium album,"Lamb’s Quarters, Pigweed"
Dudleya cymosa,Canyon Live-forever
Cucurbita foetidissima,Calabazilla
Quercus john-tuckeri,"Tucker Oak, Desert Scrub Oak"
Frankenia salina,Alkali Heath
Emmenanthe penduliflora,Whispering Bells
Salvia leucophylla,Purple Sage
Malva parviflora,Cheeseweed
Dendromecon rigida,Bush Poppy
Platanus racemosa,California or Western Sycamore
Eriogonum elongatum,Long-stemmed Buckwheat
Claytonia parviflora,Small-flowered Miner's Lettuce
Delphinium parryi,Parry Larkspur
Rhamnus ilicifolia,"Hollyleaf Redberry, Buckthorn"
Galium andrewsii,"Pine Mat, Phlox-leaved Bedstraw"
Datura wrightii,Jimson Weed
Nicotiana glauca,Tree Tobacco
Eleocharis parishii,Parish Spikerush
Juncus balticus,Baltic Rush
Bloomeria crocea,Goldenstars
Hesperoyucca whipplei,Our Lord’s Candle
Bromus tectorum,"Downy Brome, Cheat Grass"
Cynodon dactylon,Bermuda Grass
Distichlis spicata,Saltgrass
Elymus elymoides,Bottlebrush Squirreltail
Lamarckia aurea,Goldentop
Poa bulbosa,Bulbous Bluegrass
Psorothamnus spinosus,Smoke Tree
Azolla filiculoides,Duckweed Fern
Pinus sabiniana,Gray or Foothill Pine
Apiastrum angustifolium,"Wild Celery, Mock Parsley"
Apium graveolens,Celery
Apocynum cannabinum,Indian Hemp
Brickellia californica,California Brickellbush
Deinandra fasciculata,Fasciculed Tarplant
Dittrichia graveolens,Stinkwort
Euthamia occidentalis,Western Goldenrod
